REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
BMC_HB_LED1,LED_LED0603_LED0603-G,,,LED0603,2265.000,-1655.000,90.000,NO
C7P1,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,5652.000,-4705.000,0.000,YES
C7P2,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,5652.000,-4765.000,0.000,YES
C7P3,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,5645.000,-4895.000,0.000,YES
C7P4,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,3635.000,-12870.000,270.000,YES
C7P5,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,3575.000,-12870.000,270.000,YES
C7P6,CAP_NP_C0603_10U/6.3V/X5R/0603,,,C0603,3445.000,-12865.000,270.000,YES
C1,CAP_NP_C0402_27P/50V/NPO/0402,,,C0402,3370.000,-4225.000,90.000,NO
C2,CAP_NP_C0402_27P/50V/NPO/0402,,,C0402,3370.000,-4355.000,270.000,NO
C3,CAP_NP_C0402_15P/50V/NPO/0402,,,C0402,3310.000,-3880.000,90.000,NO
C4,CAP_NP_C0402_15P/50V/NPO/0402,,,C0402,3310.000,-4010.000,270.000,NO
C5,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,5780.000,-3770.000,0.000,YES
C6,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,5780.000,-3810.000,0.000,YES
C7,CAP_NP_C0402_1UF/25V/X5R/0402,,,C0402,2790.000,-3175.000,180.000,NO
C8,CAP_NP_C0402_8.2P/50V/NPO/0402,,,C0402,1865.000,-4125.000,270.000,NO
C9,CAP_NP_C0402_8.2P/50V/NPO/0402,,,C0402,1865.000,-4055.000,90.000,NO
C10,CAP_NP_C0402_0.1U/25V/X7R/0402,,,C0402,3125.000,-3280.000,270.000,NO
C11,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3486.000,-4678.000,180.000,NO
C12,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3317.598,-4394.252,180.000,YES
C13,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3246.000,-4518.000,180.000,YES
C14,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3400.000,-4586.000,180.000,NO
C15,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3246.000,-4632.000,180.000,YES
C16,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3246.000,-4592.000,180.000,YES
C17,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3320.000,-4580.000,180.000,YES
C18,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3484.402,-4413.098,180.000,NO
C19,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3484.402,-4453.098,180.000,NO
C20,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3317.598,-4434.248,180.000,YES
C21,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3486.000,-4638.000,180.000,NO
C22,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3400.000,-4626.000,180.000,NO
C23,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3246.000,-4478.000,180.000,YES
C24,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3486.000,-4533.000,180.000,NO
C25,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3486.000,-4493.000,180.000,NO
C26,CAP_NP_C0402_0.22U/16V/X7R/0402,,,C0402,3320.000,-4540.000,180.000,YES
